Source,Type,Link
Avalara,Press,https://newsroom.avalara.com/index.php?s=20303
Sovos,Press,https://sovos.com/press-releases/
Vertex,Press,https://www.vertexinc.com/company/news/latest-news
Wolters Kluwer,Press,https://www.wolterskluwer.com/en/news?f:contenttype=News%20Page%7CPress%20Release%20Page
Basware,Press,https://news.basware.com/en
Tungsten Automation,Press,https://www.tungstenautomation.com/press-releases
SEEBURGER,Press,https://www.seeburger.com/resources/press-release
ecosio,Press,https://ecosio.com/en/blog/
Marosa (LinkedIn),Press,https://www.linkedin.com/company/marosa/posts/?feedView=all
Tradeshift,Press,https://tradeshift.com/resources/?_resource_type=news
Coupa,Press,https://www.coupa.com/newsroom/
RTC Suite,Press,https://rtcsuite.com/category/press-release/
Descartes,Press,https://www.descartes.com/news-events
WiseTech Global,Press,https://www.wisetechglobal.com/news/
project44,Press,https://www.project44.com/newsroom/
Caspian,Press,https://meetcaspian.com/resources/newsroom
Copperhill,Press,https://copperhill.com/insights/
AEB,Press,https://www.aeb.com/en/magazine/aeb-news.php
MIC Customs Solutions,Press,https://www.mic-cust.com/mic-blog/news/
SAP,Press,https://news.sap.com/sea/press-room/
Oracle,Press,https://www.oracle.com/news/
Infor,Press,https://www.infor.com/news?type=press-releases
IFS,Press,https://www.ifs.com/en/insights/news?sort=newspublishdate%7Edesc
Orbitax,Press,https://orbitax.com/newsroom/press-releases
insightsoftware,Press,https://insightsoftware.com/blog/category/newsroom/
CSC,Press,https://www.cscglobal.com/service/press/
AlphaTax,Press,https://www.alphatax.com/blog/?utm_source=direct&utm_medium=none&utm_campaign=direct_none
FIS,Press,https://www.fisglobal.com/about-us/media-room/press-release
Broadridge,Press,https://www.broadridge.com/news-room
Tax1099,Press,https://www.tax1099.com/blog/?utm_medium=partnerstack&utm_source=partner&utm_campaign=546b1cf122ff&utm_term=undefined
Bloomberg Tax,Press,https://pro.bloombergtax.com/about/press-releases/
IBFD,Press,https://www.ibfd.org/news
Resilinc,Press,https://resilinc.ai/news-and-press/
CaseWare,Press,https://www.caseware.com/resources?22e733f3_sort_date=desc&22e733f3_type_equal=News
OneStream,Press,https://www.onestream.com/news/?type=pressRelease
Kintsugi,Press,https://trykintsugi.com/resource-hub
TaxWire,Press,https://www.taxwire.com/blog
Anrok,Press,https://www.anrok.com/type/product-updates
Aibidia,Press,https://www.aibidia.com/resources?category=News
Zonos,Press,https://zonos.com/resources
Visma,Press,https://www.visma.com/newsroom
Fonoa,Press,https://www.fonoa.com/resources/news?_gl=1*1p5gkf2*_up*MQ..*_ga*NDY1MDA2NDQwLjE3MTA3NjAxNDg.*_ga_KB43HTLP0H*czE3NjI3NTgwMzIkbzEzOCRnMSR0MTc2Mjc1ODIwMiRqNjAkbDAkaDA.
Corcentric,Press,https://www.corcentric.com/press-releases/
EcoVadis,Press,https://resources.ecovadis.com/news-press
Avetta,Press,https://www.avetta.com/company-news
Transporeon,Press,https://www.transporeon.com/en/company/press
Zamp,Press,https://zamp.com/press
EY,Press,https://www.ey.com/en_gl/newsroom
Deloitte,Press,https://www.deloitte.com/us/en/about/press-room.html
KPMG,Press,https://kpmg.com/xx/en/media/press-releases.html
TaxBit,Press,https://www.taxbit.com/company/press
Ledgible,Press,https://ledgible.io/newsroom/
Stripe,Press,https://stripe.com/in/newsroom/news
Resilinc,Press,https://resilinc.ai/news-and-press/
Shippeo,Press,https://www.shippeo.com/resources/newsroom/press-releases
Taxera,Press,https://taxera.tech/media
PairSoft,Press,https://www.pairsoft.com/resources/news-events/
BusinessWire,Page,https://www.businesswire.com/newsroom?industry=1050097&language=en
BusinessWire,Page,https://www.businesswire.com/newsroom?industry=1000020&language=en
VAT Update,Page,https://www.vatupdate.com/
Taxtech 500 (LinkedIn),Page,https://www.linkedin.com/company/taxtech-500/posts/?feedView=all
International Tax Review,Page,https://www.internationaltaxreview.com/north-america?00000181-3b63-d208-ade1-7fe7b4b60000-page=2
Bloomberg Tax,Page,https://news.bloombergtax.com/daily-tax-report
AccountingWEB,Page,https://www.accountingweb.co.uk/latest-news-and-comment
1099 Pro,Press,https://1099pro.com/content-library/
Basware,Press,https://www.basware.com/en/in-the-news
Anrok,Press,https://www.anrok.com/resources
Fonoa,Press,https://www.fonoa.com/resources/blog?_gl=1*17uzy2h*_up*MQ..*_ga*ODIxODY5My4xNzg3Mjk5Njgx*_ga_KB43HTLP0H*czE3ODcyOTk2ODAkbzEkZzEkdDE3ODczMDAxNTckajYwJGwwJGgwJGRFTm0zd0dramNPbEhoN3BrRk9YUEpzMG1WWEE2V0prUTNB
Avalara (LinkedIn),Link,https://www.linkedin.com/company/avalara/posts/?feedView=all
Sovos (LinkedIn),Link,https://www.linkedin.com/company/sovos/posts/?feedView=all
Vertex Inc. (LinkedIn),Link,https://www.linkedin.com/company/vertex-inc./posts/?feedView=all
Basware (LinkedIn),Link,https://www.linkedin.com/company/basware/posts/?feedView=all&viewAsMember=true
Tungstenautomation (LinkedIn),Link,https://www.linkedin.com/company/tungstenautomation/posts/?feedView=all&viewAsMember=true
Seeburger (LinkedIn),Link,https://www.linkedin.com/company/seeburger/posts/?feedView=all
Ecosiohq (LinkedIn),Link,https://www.linkedin.com/company/ecosiohq/posts/?feedView=all&viewAsMember=true
Marosa (LinkedIn),Link,https://www.linkedin.com/company/marosa/posts/?feedView=all
Tradeshift (LinkedIn),Link,https://www.linkedin.com/company/tradeshift/posts/?feedView=all
Coupa (LinkedIn),Link,https://www.linkedin.com/company/coupa/posts/?feedView=all
Rtcsuite (LinkedIn),Link,https://www.linkedin.com/company/rtcsuite/posts/?feedView=all
Wisetech Global (LinkedIn),Link,https://www.linkedin.com/company/wisetech-global/posts/?feedView=all
Meet Caspian (LinkedIn),Link,https://www.linkedin.com/company/meet-caspian/posts/?feedView=all
Copper Hill (LinkedIn),Link,https://www.linkedin.com/company/copper-hill/posts/?feedView=all
Aeb (LinkedIn),Link,https://www.linkedin.com/company/aeb/posts/?feedView=all
Mic Customs Solutions (LinkedIn),Link,https://www.linkedin.com/company/mic-customs-solutions/posts/?feedView=all
Orbitax (LinkedIn),Link,https://www.linkedin.com/company/orbitax/posts/?feedView=all
Outcomes By Insightsoftware (LinkedIn),Link,https://www.linkedin.com/company/outcomes-by-insightsoftware/posts/?feedView=all
Corptax (LinkedIn),Link,https://www.linkedin.com/showcase/corptax/posts/?feedView=all&viewAsMember=true
We Are Alphatax (LinkedIn),Link,https://www.linkedin.com/company/we-are-alphatax/posts/?feedView=all
Zenworkinc (LinkedIn),Link,https://www.linkedin.com/company/zenworkinc/posts/?feedView=all
Efile4Biz (LinkedIn),Link,https://www.linkedin.com/showcase/efile4biz/posts/?feedView=all
Workiva (LinkedIn),Link,https://www.linkedin.com/company/workiva/posts/?feedView=all
Caseware International Inc (LinkedIn),Link,https://www.linkedin.com/company/caseware-international-inc/posts/?feedView=all
Onestream Software (LinkedIn),Link,https://www.linkedin.com/company/onestream-software
Kintsugi Ai (LinkedIn),Link,https://www.linkedin.com/company/kintsugi-ai/posts/
Taxwire (LinkedIn),Link,https://www.linkedin.com/company/taxwire/posts/?feedView=all
Anrok (LinkedIn),Link,https://www.linkedin.com/company/anrok/posts/?feedView=all&viewAsMember=true
Zonos (LinkedIn),Link,https://www.linkedin.com/company/zonos/posts/?feedView=all
Visma (LinkedIn),Link,https://www.linkedin.com/company/visma/posts/?feedView=all
Fonoa (LinkedIn),Link,https://www.linkedin.com/company/fonoa/posts/?feedView=all
Numeralhq (LinkedIn),Link,https://www.linkedin.com/company/numeralhq/posts/?feedView=all
Zamptax (LinkedIn),Link,https://www.linkedin.com/company/zamptax/posts/?feedView=all
Yonda Tax (LinkedIn),Link,https://www.linkedin.com/company/yonda-tax/posts/?feedView=all
Resilinc (LinkedIn),Link,https://www.linkedin.com/company/resilinc/posts/?feedView=all&viewAsMember=true
Taxera (LinkedIn),Link,https://www.linkedin.com/company/taxera/posts/?feedView=all&viewAsMember=true
Pairsoft (LinkedIn),Link,https://www.linkedin.com/company/pairsoft/posts/?feedView=all
